codcli,marca,colecaoId,colecao,ordem,valor
17276,KIKI,I26,Inverno 2026,4,715072
17276,KIKI,T26,Tropical 2026,5,50679
17276,KIKI,V26,Verão 2026,3,141227
17276,MENINA ANJO,I26,Inverno 2026,4,568906
17276,MENINA ANJO,T26,Tropical 2026,5,7501
17276,MENINA ANJO,V26,Verão 2026,3,14790
17276,VALENT,I26,Inverno 2026,4,1959987
17276,VALENT,T26,Tropical 2026,5,25105
17276,VALENT,V26,Verão 2026,3,571934
17278,KIKI,I26,Inverno 2026,4,2549
17278,KIKI,V26,Verão 2026,3,40
17278,KIKI,V27,Verão 2027,6,7
17278,MENINA ANJO,V26,Verão 2026,3,7
17278,MENINA ANJO,V27,Verão 2027,6,16
17278,VALENT,V27,Verão 2027,6,12
17284,KIKI,V26,Verão 2026,3,1816
17286,KIKI,V26,Verão 2026,3,15237
17286,MENINA ANJO,V26,Verão 2026,3,11448
17286,VALENT,V26,Verão 2026,3,2131
17287,MENINA ANJO,V26,Verão 2026,3,34773
17288,KIKI,V26,Verão 2026,3,29164
17288,MENINA ANJO,V26,Verão 2026,3,2536
17291,KIKI,I26,Inverno 2026,4,30153
17291,KIKI,V26,Verão 2026,3,10102
17293,KIKI,T26,Tropical 2026,5,6520
17293,KIKI,V26,Verão 2026,3,8582
17294,KIKI,V26,Verão 2026,3,6030
17295,KIKI,I26,Inverno 2026,4,449927
17295,KIKI,T26,Tropical 2026,5,11524
17295,KIKI,V26,Verão 2026,3,12218
17295,MENINA ANJO,I26,Inverno 2026,4,2834
17295,MENINA ANJO,T26,Tropical 2026,5,7610
17295,MENINA ANJO,V26,Verão 2026,3,2270
17295,VALENT,T26,Tropical 2026,5,16689
17295,VALENT,V26,Verão 2026,3,10220
17297,KIKI,I26,Inverno 2026,4,625915
17297,KIKI,V26,Verão 2026,3,44408
17297,MENINA ANJO,I26,Inverno 2026,4,10221
17297,MENINA ANJO,V26,Verão 2026,3,10940
17297,VALENT,I26,Inverno 2026,4,16761
17297,VALENT,V26,Verão 2026,3,26042
17298,KIKI,V26,Verão 2026,3,2243
17301,MENINA ANJO,V26,Verão 2026,3,2626
